invoice_number,imported_as_packages,invoice_raw_imported
0018Y8374,3,10
00AR90374,219,796
00E2W1374,1670,4604
03E09A374,127,316
0722AY374,1,4
099799374,20,27
09E8V5374,25,52
09E8V8374,21,44
0A1F94374,0,1
0R725V374,0,1
0RV764374,48,164
0X307E374,2690,7945
1049RF374,29,81
1118W4374,11,33
117R6A374,5,17
13V10W374,0,1
140410374,456,1044
146R03374,0,5
14V722374,60,216
153473374,107,379
159AW0374,205,620
164286374,25,84
1799AF374,827,2395
182329374,6,14
1884YR374,33,60
1WF533374,5,19
1X3V41374,73,238
1Y8073374,2,8
1YR380374,345,1198
2165E8374,23,104
21749E374,11,32
2239E0374,62,188
2252W2374,21,60
2279X5374,2,2
22E768374,50,245
236492374,196,554
2583R7374,38,149
2689VA374,214,503
27818X374,53,145
2798FF374,7,23
280W7W374,1,7
282781374,150,484
28422X374,14,36
2E844V374,6,24
2EX787374,80,175
2W691W374,7,25
2Y8814374,13,37
314476374,275,613
327E63374,109,187
32X156374,14,36
35655E374,23,75
358681374,125,399
36W603374,1,3
373VF7374,0,1
379A2E374,148,444
38X60F374,63,183
39X133374,299,1362
3E749R374,0,1
3F9V04374,79,351
3V385R374,0,1
3XW763374,4,14
402W8A374,2,6
40YY00374,53,180
41211W374,37,55
41510E374,336,1227
42EW96374,63,162
450A6F374,5,23
46F92E374,51,154
46YE68374,179,354
484Y1F374,13,44
485911374,84,180
4F4V08374,0,2
4R8007374,0,1
4X4168374,216,528
4XR093374,59,126
50Y989374,64,171
545V2A374,0,6
54A86W374,2,7
564124374,0,2
56X48W374,0,1
5725YW374,9,20
575902374,250,651
57V181374,1,2
580648374,212,450
586069374,7,24
58F730374,121,333
58R11F374,73,272
58R72X374,1,5
58RF61374,27,103
58RR80374,0,1
5948F1374,3,8
5948FE374,2,8
5E549E374,4,6
5V61A8374,323,1313
5V707V374,7,22
5WX483374,14,43
5X3931374,279,1105
602R0X374,0,4
612001374,415,1075
6337X1374,64,149
64668R374,1,4
664568374,6,17
684W89374,175,360
696842374,24,61
699645374,124,400
6EA321374,0,124
6F5748374,47,171
6R1W29374,174,469
6R9333374,5,14
6R9711374,36,55
6V0565374,20,76
6V792A374,174,641
6W2361374,394,1216
700205374,1,4
702040374,95,192
705442374,327,1160
70RR75374,7,22
720577374,48,285
734552374,83,171
736660374,38,104
737194374,100,555
73A6W2374,26,105
73Y0A1374,239,585
742990374,0,1
750980374,16,53
75E815374,28,85
75R1A0374,378,1879
763648374,18,62
764262374,1066,3326
7652VY374,0,1
